"_id",name,address,city,state,zip,phone,comments,ufavs
55e9a577c556608ed80400b1,Central Florida Paintball,9365 US Highway 98 N,Orlando,FL,33809.0,(863)-858-3154,[  ],[  ]
55e9a639c556608ed80400b2,Orlando Paintball,7215 Rose Avenue,Orlando,FL,32810.0,(407)-294-0694,[  ],[  ]
55e9a7a4c556608ed80400b3,Paintball World,4801 West Colonial Drive,Orlando,FL,32808.0,(407)-218-9490,[  ],[  ]
55e9a9fbc556608ed80400b4,South Tampa Paintball,3378 South 50th Street,Tampa,FL,33619.0,(813)-956-2038,[  ],[  ]
55e9aaa8c556608ed80400b5,Blitzkrieg Paintball Field,1006 E Bearss Ave,Tampa,FL,33549.0,(813)-971-4306,[  ],[  ]
55e9ac09c556608ed80400b6,Orbital Paintball,12771 US Highway 301 N,Tampa,FL,33592.0,(813)-672-4825,[  ],[  ]
55e9acb7c556608ed80400b7,Jungle Games,3255 Robertson Trail,Lutz,FL,33559.0,(727)-937-1755,[  ],[  ]
55e9b2e3c556608ed80400b8,Action Town,7925 W. 2nd Court,Hialeah,FL,33014.0,(305)-647-3343,[  ],[  ]
55e9b343c556608ed80400b9,Medley Paintball,9185 NW. 96st Street,Medley,FL,33178.0,(305)-888-5552,[  ],[  ]
55e9b402c556608ed80400ba,Battle Town,18225 SW 188th St,Miami,FL,33187.0,(305)-878-1731,[  ],[  ]
55e9c232c556608ed80400bb,Paintball Adventures,11850 Camden Road,Jacksonville,FL,32218.0,(904)-645-7127,[  ],[  ]
55e9c325c556608ed80400bc,GTF Paintball,86588 Goodbread Road,Jacksonville,FL,32218.0,(904)-548-7256,[  ],[  ]
55e9c3f3c556608ed80400bd,Whilâ€™s Paintball,8984 Normandy Blvd.,Jacksonville,FL,32221.0,(904)-651-7520,[  ],[  ]
55e9c4d9c556608ed80400be,Splatman Paintball Park,454 S Lowder St,Macclenny,FL,32063.0,(904)-586-6573,[  ],[  ]
55e9c6f0c556608ed80400bf,Danger Zone Paintball,2100 Bronson Rd,Pensacola,FL,32506.0,(850)-390-6133,[  ],[  ]
55e9c7c5c556608ed80400c0,Extreme Rage Paintball Park,6401 Sheridan St,Hollywood,FL,33024.0,(954)-986-9089,[  ],[  ]
55e9c836c556608ed80400c1,Hot Shots Paintball,16169 Southern Boulevard,Loxahatchee,FL,33470.0,(561)-798-4717,[  ],[  ]
55e9ca00c556608ed80400c2,Family Paintball,"26851 SW New York Ave ",Homestead,FL,33032.0,(786)-268-9208,[  ],[  ]
